run_id,panel_id,dataset,horizon,model_name,series_id,n_predictions,abs_y,abs_error,MAE,sMAPE,WAPE,source_run_dir
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_090_TX_2_validation,378,19339.0,7889.0,20.87037037037037,40.81857984292696,0.4079321578158126,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_090_TX_3_validation,378,21770.0,8502.0,22.49206349206349,39.58606915766023,0.3905374368396876,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_090_WI_3_validation,378,23889.0,8684.0,22.973544973544975,38.37343650756418,0.3635145883042404,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_099_TX_2_validation,378,5210.0,2157.0,5.7063492063492065,37.59746688366141,0.4140115163147793,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_120_CA_1_validation,378,15279.0,8110.0,21.455026455026456,70.21210639682631,0.5307939001243537,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_120_CA_3_validation,378,31365.0,8666.0,22.925925925925927,32.58676433188966,0.2762952335405707,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_120_WI_3_validation,378,12400.0,5089.0,13.462962962962964,49.685825848942464,0.4104032258064516,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_202_CA_3_validation,378,7882.0,3479.0,9.203703703703704,59.834936568201144,0.4413854351687389,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_202_TX_1_validation,378,8044.0,3383.0,8.94973544973545,43.986684101739414,0.4205619094977623,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_202_TX_2_validation,378,7798.0,4849.0,12.828042328042327,58.542016100989734,0.6218261092587843,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_202_TX_3_validation,378,9826.0,4191.0,11.087301587301589,42.61224245070357,0.4265214736413596,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_226_WI_1_validation,378,14808.0,3302.0,8.735449735449736,23.049450759057866,0.2229875742841707,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_226_WI_2_validation,378,14519.0,3998.0,10.576719576719576,29.730936205009684,0.2753633170328535,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_226_WI_3_validation,378,18132.0,4542.0,12.015873015873016,25.187312797113385,0.2504963600264725,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_234_CA_3_validation,378,7146.0,5891.0,15.584656084656086,84.46511891602148,0.8243772739994403,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_234_WI_2_validation,378,8932.0,10996.0,29.08994708994709,112.39437445018912,1.2310792655620242,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_234_WI_3_validation,378,7749.0,6179.0,16.34656084656085,92.95539299953892,0.7973932120273584,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_252_CA_1_validation,378,14668.0,4195.0,11.097883597883598,30.032357744609424,0.2859967275702209,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_252_CA_2_validation,378,14731.0,4295.0,11.362433862433862,32.61605467254049,0.2915620120833616,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_252_CA_3_validation,378,17274.0,5186.0,13.71957671957672,29.942601942552617,0.300219983790668,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_252_TX_1_validation,378,11801.0,4010.0,10.60846560846561,36.59225299066754,0.3398017117193458,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_252_TX_2_validation,378,21934.0,6214.0,16.43915343915344,28.969369892024392,0.2833044588310385,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_252_TX_3_validation,378,17754.0,5497.0,14.542328042328045,33.350215174417194,0.3096203672411851,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_252_WI_3_validation,378,6826.0,3163.0,8.367724867724867,46.74937610880397,0.4633753296220334,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_281_CA_3_validation,378,3821.0,2383.0,6.304232804232805,76.15065303390618,0.623658728081654,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_282_CA_3_validation,378,13394.0,4411.0,11.66931216931217,45.87252653985871,0.3293265641331939,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_288_CA_3_validation,378,12500.0,4840.0,12.804232804232804,47.08166433865283,0.3872,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_318_CA_3_validation,378,5296.0,2760.0,7.301587301587301,52.95846933872441,0.5211480362537765,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_318_WI_3_validation,378,5628.0,2976.0,7.873015873015873,42.67522546486126,0.5287846481876333,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_319_CA_3_validation,378,4783.0,2985.0,7.896825396825397,51.532442916040935,0.6240853021116454,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_376_WI_2_validation,378,8991.0,5598.0,14.80952380952381,65.8272429102653,0.6226226226226226,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_377_TX_2_validation,378,11838.0,2781.0,7.357142857142857,24.08313018398905,0.2349214394323365,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_377_TX_3_validation,378,15919.0,4052.0,10.71957671957672,25.68168876603709,0.2545386016709592,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_412_WI_2_validation,378,7130.0,9015.0,23.849206349206348,120.13427701141956,1.26437587657784,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_462_WI_2_validation,378,8298.0,5139.0,13.595238095238097,66.71708375599715,0.6193058568329718,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_501_CA_3_validation,378,4934.0,2582.0,6.830687830687831,51.61190396799867,0.5233076611268748,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_541_CA_3_validation,378,7136.0,4213.0,11.145502645502646,55.29037519166885,0.5903867713004485,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_547_WI_2_validation,378,6199.0,7733.0,20.45767195767196,113.75845002471468,1.2474592676238103,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_555_CA_1_validation,378,6830.0,2097.0,5.5476190476190474,32.56166229012324,0.3070278184480234,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_555_CA_3_validation,378,11167.0,3130.0,8.28042328042328,29.326552721000848,0.2802901405928181,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_555_TX_1_validation,378,9228.0,2714.0,7.1798941798941796,30.02869538308217,0.2941048981361075,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_555_TX_2_validation,378,16845.0,4403.0,11.648148148148149,26.985525954504585,0.2613831997625408,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_555_TX_3_validation,378,12158.0,3960.0,10.476190476190476,35.458521422205685,0.3257114657015956,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_555_WI_3_validation,378,8320.0,2796.0,7.396825396825397,35.059931858744356,0.3360576923076923,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_586_CA_1_validation,378,16440.0,3703.0,9.796296296296296,23.863967399980428,0.225243309002433,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_586_CA_2_validation,378,14229.0,3726.0,9.857142857142858,29.06162791060867,0.2618595825426945,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_586_CA_3_validation,378,27702.0,5357.0,14.171957671957673,20.230523146639477,0.193379539383438,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_586_TX_1_validation,378,19685.0,4814.0,12.735449735449736,25.187847727608915,0.2445516891033782,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_586_TX_2_validation,378,34848.0,6875.0,18.187830687830687,20.168431412858816,0.1972853535353535,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_586_TX_3_validation,378,27768.0,6602.0,17.465608465608465,24.98574040887917,0.237755690002881,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_586_WI_3_validation,378,12341.0,3415.0,9.034391534391537,29.5043770280006,0.2767198768333198,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_587_CA_1_validation,378,10362.0,3595.0,9.510582010582011,36.62889034047112,0.346940745029917,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_587_CA_3_validation,378,12820.0,3577.0,9.462962962962964,30.333974502707328,0.2790171606864274,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_587_TX_1_validation,378,10602.0,3689.0,9.75925925925926,39.73403095894411,0.347953216374269,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_587_TX_2_validation,378,11359.0,3598.0,9.51851851851852,34.293805477630336,0.3167532353200105,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_587_TX_3_validation,378,11748.0,3609.0,9.547619047619047,31.29271405762727,0.3072012257405516,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_587_WI_3_validation,378,11072.0,3725.0,9.854497354497354,36.01568075219172,0.3364342485549133,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_607_CA_3_validation,378,7937.0,3863.0,10.21957671957672,57.17237617213837,0.4867078241149049,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_635_CA_3_validation,378,6861.0,4241.0,11.21957671957672,58.98727545499456,0.6181314677160764,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_681_CA_3_validation,378,14755.0,6552.0,17.333333333333332,50.19239436830512,0.4440528634361233,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_681_WI_3_validation,378,12789.0,5213.0,13.791005291005291,52.757241968364944,0.4076159199311908,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_694_CA_3_validation,378,6591.0,1984.0,5.248677248677248,30.948687307160174,0.3010165377029282,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_694_TX_1_validation,378,6424.0,2162.0,5.71957671957672,35.57684031353753,0.3365504358655043,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_694_WI_1_validation,378,7117.0,2091.0,5.531746031746032,30.52871755930124,0.2938035689194885,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_694_WI_2_validation,378,11714.0,3170.0,8.386243386243386,28.1668603894698,0.2706163564964999,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_694_WI_3_validation,378,16615.0,4302.0,11.38095238095238,26.616620654438133,0.2589226602467649,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_711_CA_3_validation,378,5232.0,4761.0,12.595238095238097,81.98612151497574,0.9099770642201837,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_711_WI_2_validation,378,7949.0,8784.0,23.238095238095237,110.6833430775635,1.1050446597056234,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_714_CA_1_validation,378,8737.0,2880.0,7.619047619047619,35.127690448446444,0.329632597001259,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_714_CA_3_validation,378,11479.0,3505.0,9.272486772486772,31.68559213009609,0.3053401864273891,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_714_TX_1_validation,378,5659.0,2401.0,6.351851851851852,44.707102742852015,0.4242799081109736,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_714_TX_2_validation,378,8856.0,2933.0,7.7592592592592595,34.52421602943364,0.3311878952122855,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_714_TX_3_validation,378,6863.0,2990.0,7.91005291005291,46.78781336400618,0.4356695322745155,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_714_WI_3_validation,378,8435.0,3013.0,7.970899470899471,37.748236883846744,0.3572021339656194,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_723_CA_3_validation,378,8460.0,4176.0,11.047619047619047,57.24715021601745,0.4936170212765957,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_723_WI_3_validation,378,8049.0,4054.0,10.724867724867725,48.41764018736871,0.5036650515591999,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_752_CA_3_validation,378,6697.0,6599.0,17.45767195767196,91.68701202863484,0.9853665820516648,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_804_CA_3_validation,378,8100.0,4663.0,12.335978835978835,72.72042745515938,0.575679012345679,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_808_CA_1_validation,378,2395.0,2108.0,5.576719576719577,69.48841271303597,0.8801670146137787,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,FOODS_3_808_CA_3_validation,378,8869.0,4447.0,11.764550264550264,52.47237444335045,0.5014094035404217,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,HOUSEHOLD_1_118_CA_3_validation,378,7935.0,3460.0,9.153439153439152,45.93086820899459,0.4360428481411468,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,HOUSEHOLD_1_334_CA_3_validation,378,7215.0,3517.0,9.304232804232804,55.458100427004965,0.4874566874566874,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,seasonal_naive,HOUSEHOLD_1_459_CA_3_validation,378,8248.0,3780.0,10.0,47.81965064443655,0.4582929194956353,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,FOODS_1_218_TX_2_validation,378,5582.0,2316.4739899635315,6.128238068686591,46.25978499926613,0.4149899659554875,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,FOODS_2_197_CA_1_validation,378,6349.0,2196.7674508094788,5.811554102670579,37.14602100690937,0.3460021185713465,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,FOODS_2_197_CA_3_validation,378,5223.0,1682.0548677444458,4.449880602498534,33.305803824975776,0.3220476484289576,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,FOODS_2_276_CA_3_validation,378,3143.0,1706.484245300293,4.5145085854505105,53.7991348678892,0.5429475804328008,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,FOODS_2_360_CA_3_validation,378,4857.0,2193.335364192724,5.802474508446361,80.03440625803026,0.4515823274022492,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,FOODS_2_360_TX_3_validation,378,3979.0,1930.694327674806,5.107656951520651,100.68041034982728,0.4852209921273702,source_b_repair_baselines_m5_rohlik_100_v2
source_b_repair_baselines_m5_rohlik_100_v2,m5_top_volume_100_20260714,M5,7,lightgbm_cov,FOODS_2_360_WI_2_validation,378,10631.0,5269.363613598049,13.940115379889018,109.70735304325328,0.4956602025771845,source_b_repair_baselines_m5_rohlik_100_v2
